type	name	located_in	q_number	lat_long
country	Maldives	Asia		
country	Mongolia	Asia		
country	Myanmar	Asia		
country	Nepal	Asia		
country	North Korea	Asia		
country	Oman	Asia		
country	Pakistan	Asia		
country	Philippines	Asia		
country	Qatar	Asia		
country	Saudi Arabia	Asia		
country	Singapore	Asia		
country	South Korea	Asia		
country	Sri Lanka	Asia		
country	Syria	Asia		
country	Taiwan	Asia		
country	Tajikistan	Asia		
country	Thailand	Asia		
country	Turkey	Asia		
country	Turkmenistan	Asia		
country	United Arab Emirates	Asia		
country	Uzbekistan	Asia		
country	Vietnam	Asia		
country	Yemen	Asia		
country	Albania	Europe		
country	Andorra	Europe		
country	Austria	Europe		
country	Belarus	Europe		
country	Belgium	Europe		
country	Bosnia and Herzegovina	Europe		
country	Bulgaria	Europe		
country	Croatia	Europe		
country	Cyprus	Europe		
country	Czechia	Europe		
country	Denmark	Europe		
country	Estonia	Europe		
country	Finland	Europe		
country	France	Europe		
country	Germany	Europe		"51.096479,5.9591914"
country	Greece	Europe		
country	Hungary	Europe		
country	Iceland	Europe		
country	Ireland	Europe		
country	Italy	Europe		
country	Kosovo	Europe		
country	Latvia	Europe		
country	Liechtenstein	Europe		
country	Lithuania	Europe		
country	Luxembourg	Europe		
country	Malta	Europe		
country	Moldova	Europe		
country	Monaco	Europe		
country	Montenegro	Europe		
country	Netherlands	Europe		
country	North Macedonia	Europe		
country	Norway	Europe		
country	Poland	Europe		
country	Portugal	Europe		
country	Romnia	Europe		
country	Russia	Europe		
country	San Marino	Europe		
country	Serbia	Europe		
country	Slovakia	Europe		
country	Slovenia	Europe		
country	Spain	Europe		
country	Sweden	Europe		
country	Switzerland	Europe		
country	Ukraine	Europe		
country	United Kingdom	Europe		
country	Vatican City	Europe		
country	Antigua and Barbuda	North America		
country	Bahamas	North America		
country	Barbados	North America		
country	Belize	North America		
country	Canada	North America		
country	Costa Rica	North America		
country	Cuba	North America		
country	Dominica	North America		
country	Dominican Republic	North America		
country	El Salvadore	North America		
country	Grenada	North America		
country	Guatemala	North America		
country	Haiti	North America		
country	Honduras	North America		
country	Jamaica	North America		
country	Mexico	North America		
country	Nicaragua	North America		
country	Saint Kitts and Nevis	North America		
country	Saint Lucia	North America		
country	Saint Vincent and the Grenadines	North America		
country	Trinidad and Tobago	North America		
country	United States	North America		"37.2743313,-104.6733254"
country	Australia	Oceania		"-24.9901595,115.2075396"
country	Cook Islands	Oceania		
country	Fiji	Oceania		
country	Kiribati	Oceania		
country	Marshall Islands	Oceania		
country	Micronesia	Oceania		
country	Nauru	Oceania		
country	New Zealand	Oceania		
country	Niue	Oceania		
country	Palau	Oceania		
country	Papua New Guinea	Oceania		
country	Samoa	Oceania		
country	Solomon Islands	Oceania		
country	Timor-Leste	Oceania		
country	Tuvalu	Oceania		
country	Vanuatu	Oceania		
country	Argentina	South America		"-38.0903578,-72.6011344"
country	Bolivia	South America		
country	Brazil	South America		
country	Chile	South America		
country	Colombia	South America		
country	Ecuador	South America		
country	Guyana	South America		
country	Panama	South America		
country	Paraguay	South America		
country	Peru	South America		
country	Suriname	South America		
country	Uruguay	South America		
country	Venezuela	South America		
state	Florida	United States		"27.5814374,-86.0532462"
